episode,reward,score,steps,epsilon
206,-10.0,0,14,0.357875
207,0.0,1,18,0.356086
208,0.0,1,22,0.354305
209,30.0,4,39,0.352534
210,0.0,1,11,0.350771
211,-10.0,0,5,0.349017
212,0.0,1,16,0.347272
213,20.0,3,34,0.345536
214,0.0,1,18,0.343808
215,20.0,3,15,0.342089
216,50.0,6,60,0.340379
217,10.0,2,15,0.338677
218,0.0,1,9,0.336983
219,0.0,1,12,0.335298
220,10.0,2,16,0.333622
221,10.0,2,38,0.331954
222,30.0,4,46,0.330294
223,30.0,4,53,0.328643
224,10.0,2,35,0.326999
225,10.0,2,23,0.325364
226,10.0,2,24,0.323738
227,0.0,1,15,0.322119
228,20.0,3,16,0.320508
229,10.0,2,25,0.318906
230,0.0,1,37,0.317311
231,-10.0,0,5,0.315725
232,0.0,1,24,0.314146
233,0.0,1,8,0.312575
234,60.0,7,92,0.311012
235,10.0,2,19,0.309457
236,0.0,1,14,0.30791
237,20.0,3,28,0.306371
238,30.0,4,21,0.304839
239,30.0,4,30,0.303315
240,0.0,1,13,0.301798
241,20.0,3,30,0.300289
242,70.0,8,84,0.298788
243,10.0,2,30,0.297294
244,20.0,3,22,0.295807
245,30.0,4,55,0.294328
246,-10.0,0,10,0.292856
247,0.0,1,7,0.291392
248,60.0,7,95,0.289935
249,-10.0,0,12,0.288486
250,20.0,3,25,0.287043
251,0.0,1,3,0.285608
252,0.0,1,11,0.28418
253,30.0,4,50,0.282759
254,40.0,5,37,0.281345
255,30.0,4,54,0.279938
256,10.0,2,11,0.278539
257,10.0,2,24,0.277146
258,20.0,3,18,0.27576
259,0.0,1,7,0.274382
260,0.0,1,17,0.27301
261,100.0,11,108,0.271645
262,40.0,5,42,0.270286
263,30.0,4,40,0.268935
264,0.0,1,14,0.26759
265,0.0,1,14,0.266252
266,20.0,3,17,0.264921
267,-10.0,0,19,0.263596
268,10.0,2,17,0.262278
269,0.0,1,6,0.260967
270,10.0,2,20,0.259662
271,0.0,1,10,0.258364
272,-10.0,0,14,0.257072
273,10.0,2,28,0.255787
274,0.0,1,9,0.254508
275,60.0,7,71,0.253235
276,0.0,1,6,0.251969
277,30.0,4,31,0.250709
278,30.0,4,29,0.249456
279,10.0,2,16,0.248208
280,0.0,1,8,0.246967
281,30.0,4,30,0.245733
282,10.0,2,29,0.244504
283,20.0,3,43,0.243281
284,40.0,5,50,0.242065
285,30.0,4,54,0.240855
286,50.0,6,56,0.23965
287,50.0,6,49,0.238452
288,10.0,2,25,0.23726
289,0.0,1,15,0.236074
290,0.0,1,19,0.234893
291,20.0,3,46,0.233719
292,-10.0,0,10,0.23255
293,60.0,7,56,0.231387
294,0.0,1,12,0.23023
295,40.0,5,32,0.229079
296,40.0,5,60,0.227934
297,50.0,6,65,0.226794
298,10.0,2,35,0.22566
299,80.0,9,97,0.224532
300,30.0,4,40,0.223409
