episode,reward,score,steps,epsilon
227,13.0,2,25,0.2
228,22.5,3,27,0.2
229,44.5,5,52,0.2
230,43.9,5,52,0.2
231,-8.8,0,7,0.2
232,19.9,3,14,0.2
233,44.1,5,38,0.2
234,23.5,3,35,0.2
235,89.3,9,103,0.2
236,43.7,5,39,0.2
237,0.5,1,11,0.2
238,11.2,2,25,0.2
239,21.5,3,22,0.2
240,43.7,5,33,0.2
241,98.0,10,77,0.2
242,21.1,3,50,0.2
243,31.6,4,18,0.2
244,54.8,6,46,0.2
245,31.8,4,58,0.2
246,13.4,2,21,0.2
247,0.5,1,11,0.2
248,-9.6,0,9,0.2
249,-0.1,1,14,0.2
250,-0.1,1,14,0.2
251,0.1,1,3,0.2
252,12.4,2,31,0.2
253,-0.3,1,13,0.2
254,25.1,3,46,0.2
255,-9.0,0,9,0.2
256,66.3,7,49,0.2
257,13.0,2,22,0.2
258,60.1,7,81,0.2
259,1.1,1,11,0.2
260,30.4,4,39,0.2
261,-9.4,0,7,0.2
262,9.4,2,28,0.2
263,0.1,1,24,0.2
264,-10.6,0,22,0.2
265,107.1,11,80,0.2
266,55.2,6,45,0.2
267,12.6,2,20,0.2
268,1.3,1,18,0.2
269,110.7,11,113,0.2
270,-9.4,0,7,0.2
271,22.3,3,38,0.2
272,65.9,7,56,0.2
273,10.2,2,8,0.2
274,22.1,3,19,0.2
275,1.3,1,9,0.2
276,64.5,7,67,0.2
277,66.9,7,49,0.2
278,32.0,4,20,0.2
279,24.3,3,33,0.2
280,86.5,9,74,0.2
281,-10.8,0,18,0.2
282,32.8,4,21,0.2
283,10.8,2,14,0.2
284,-0.1,1,8,0.2
285,43.5,5,44,0.2
286,0.9,1,7,0.2
287,139.2,14,98,0.2
288,10.8,2,14,0.2
289,12.2,2,30,0.2
290,21.3,3,30,0.2
291,76.2,8,107,0.2
292,11.8,2,19,0.2
293,1.1,1,11,0.2
294,10.4,2,12,0.2
295,22.1,3,37,0.2
296,74.6,8,66,0.2
297,0.7,1,6,0.2
298,0.5,1,14,0.2
299,21.3,3,15,0.2
300,0.3,1,7,0.2
