episode,reward,score,steps,epsilon
211,64.3,7,48,0.05
212,108.5,11,90,0.05
213,101.4,10,97,0.05
214,67.1,7,50,0.05
215,52.2,6,24,0.05
216,23.5,3,23,0.05
217,64.1,7,44,0.05
218,99.2,10,62,0.05
219,67.7,7,53,0.05
220,12.2,2,15,0.05
221,168.0,16,133,0.05
222,97.2,10,85,0.05
223,47.5,5,49,0.05
224,24.1,3,26,0.05
225,66.7,7,57,0.05
226,61.4,6,82,0.05
227,180.1,17,136,0.05
228,92.9,9,109,0.05
229,31.4,4,17,0.05
230,65.1,7,40,0.05
231,199.3,19,150,0.05
232,199.7,19,152,0.05
233,127.7,13,104,0.05
234,156.9,15,147,0.05
235,22.7,3,31,0.05
236,101.2,10,93,0.05
237,179.9,17,150,0.05
238,12.0,2,14,0.05
239,100.4,10,71,0.05
240,56.0,6,49,0.05
241,103.4,10,83,0.05
242,156.9,15,111,0.05
243,1.1,1,11,0.05
244,188.4,18,135,0.05
245,201.5,19,155,0.05
246,132.5,13,92,0.05
247,11.6,2,12,0.05
248,65.9,7,44,0.05
249,129.7,13,72,0.05
250,192.0,18,144,0.05
251,0.1,1,9,0.05
252,130.5,13,94,0.05
253,101.8,10,75,0.05
254,294.6,28,232,0.05
255,1.1,1,8,0.05
256,0.7,1,6,0.05
257,65.7,7,52,0.05
258,33.6,4,31,0.05
259,38.6,4,50,0.05
260,97.6,10,63,0.05
261,79.0,8,61,0.05
262,218.3,21,196,0.05
263,36.0,4,43,0.05
264,25.5,3,33,0.05
265,10.8,2,8,0.05
266,125.9,13,95,0.05
267,110.7,11,74,0.05
268,97.8,10,61,0.05
269,155.5,15,110,0.05
270,47.9,5,51,0.05
271,195.3,19,145,0.05
272,53.6,6,40,0.05
273,54.8,6,34,0.05
274,56.0,6,43,0.05
275,36.0,4,37,0.05
276,144.4,14,115,0.05
277,109.9,11,88,0.05
278,101.6,10,113,0.05
279,1.1,1,11,0.05
280,128.1,13,82,0.05
281,121.6,12,98,0.05
282,148.0,14,124,0.05
283,45.1,5,37,0.05
284,93.3,9,87,0.05
285,54.0,6,33,0.05
286,89.1,9,69,0.05
287,90.7,9,68,0.05
288,87.1,9,62,0.05
289,44.1,5,29,0.05
290,132.7,13,87,0.05
291,57.2,6,49,0.05
292,1.1,1,8,0.05
293,99.4,10,84,0.05
294,100.8,10,85,0.05
295,13.6,2,25,0.05
296,197.5,19,135,0.05
297,34.2,4,34,0.05
298,165.4,16,132,0.05
299,236.9,23,150,0.05
300,12.6,2,17,0.05
